case_name,office,aircon,ventilation,exhaust,countTimeMean_onlyFloating
office11_960_82_aout,office11,960.0,82.0,a,1375.1193333333335
office11_960_82_bout,office11,960.0,82.0,b,1077.2653333333333
office12_0_0,office12,0.0,0.0,off,1676.1496666666665
office12_0_164_aout,office12,0.0,164.0,a,1641.4436666666666
office12_0_164_bout,office12,0.0,164.0,b,1742.8733333333334
office12_0_246_aout,office12,0.0,246.0,a,1795.6729999999998
office12_0_246_bout,office12,0.0,246.0,b,1470.6533333333334
office12_0_82_aout,office12,0.0,82.0,a,1807.5786666666665
office12_0_82_bout,office12,0.0,82.0,b,1449.081
office12_360_0,office12,360.0,0.0,off,1662.0036666666665
office12_360_164_aout,office12,360.0,164.0,a,1985.7369999999999
office12_360_164_bout,office12,360.0,164.0,b,1816.0783333333334
office12_360_246_aout,office12,360.0,246.0,a,1352.4443333333334
office12_360_246_bout,office12,360.0,246.0,b,1590.8196666666668
office12_360_82_aout,office12,360.0,82.0,a,2105.211333333333
office12_360_82_bout,office12,360.0,82.0,b,1711.1860000000001
office12_660_0,office12,660.0,0.0,off,1990.7843333333335
office12_660_164_aout,office12,660.0,164.0,a,1945.996333333333
office12_660_164_bout,office12,660.0,164.0,b,1688.348
office12_660_246_aout,office12,660.0,246.0,a,1846.0966666666666
office12_660_246_bout,office12,660.0,246.0,b,1609.7513333333334
office12_660_82_aout,office12,660.0,82.0,a,1805.118666666667
office12_660_82_bout,office12,660.0,82.0,b,1869.8676666666668
office12_960_0,office12,960.0,0.0,off,1584.1889999999999
office12_960_164_aout,office12,960.0,164.0,a,1754.667333333333
office12_960_164_bout,office12,960.0,164.0,b,1686.4646666666667
office12_960_246_aout,office12,960.0,246.0,a,1947.5186666666666
office12_960_246_bout,office12,960.0,246.0,b,1801.4376666666665
office12_960_82_aout,office12,960.0,82.0,a,1564.737
office12_960_82_bout,office12,960.0,82.0,b,1556.5543333333333
office13_0_0,office13,0.0,0.0,off,1212.9383333333333
office13_0_164_aout,office13,0.0,164.0,a,1106.6183333333333
office13_0_164_bout,office13,0.0,164.0,b,1286.091
office13_0_246_aout,office13,0.0,246.0,a,1398.0279999999998
office13_0_246_bout,office13,0.0,246.0,b,1537.4143333333334
office13_0_82_aout,office13,0.0,82.0,a,1491.2289999999998
office13_0_82_bout,office13,0.0,82.0,b,1559.8263333333334
office13_360_0,office13,360.0,0.0,off,1232.8089999999997
office13_360_164_aout,office13,360.0,164.0,a,1540.1023333333333
office13_360_164_bout,office13,360.0,164.0,b,1745.7246666666665
office13_360_246_aout,office13,360.0,246.0,a,1337.8793333333333
office13_360_246_bout,office13,360.0,246.0,b,1680.93
office13_360_82_aout,office13,360.0,82.0,a,1445.9766666666665
office13_360_82_bout,office13,360.0,82.0,b,1492.2723333333333
office13_660_0,office13,660.0,0.0,off,1436.3233333333333
office13_660_164_aout,office13,660.0,164.0,a,1292.5826666666667
office13_660_164_bout,office13,660.0,164.0,b,1162.9213333333332
office13_660_246_aout,office13,660.0,246.0,a,1297.7993333333334
office13_660_246_bout,office13,660.0,246.0,b,1514.2216666666666
office13_660_82_aout,office13,660.0,82.0,a,1402.3603333333335
office13_660_82_bout,office13,660.0,82.0,b,1304.5760000000002
office13_960_0,office13,960.0,0.0,off,1618.664
office13_960_164_aout,office13,960.0,164.0,a,1643.3136666666667
office13_960_164_bout,office13,960.0,164.0,b,1407.7786666666666
office13_960_246_aout,office13,960.0,246.0,a,1729.557
office13_960_246_bout,office13,960.0,246.0,b,1332.6946666666668
office13_960_82_aout,office13,960.0,82.0,a,1702.2626666666665
office13_960_82_bout,office13,960.0,82.0,b,1740.9813333333334
office14_0_0,office14,0.0,0.0,off,2211.0129999999995
office14_0_164_aout,office14,0.0,164.0,a,2407.660666666667
office14_0_164_bout,office14,0.0,164.0,b,2206.5403333333334
office14_0_246_aout,office14,0.0,246.0,a,2113.185
office14_0_246_bout,office14,0.0,246.0,b,3114.2286666666664
office14_0_82_aout,office14,0.0,82.0,a,2553.006
office14_0_82_bout,office14,0.0,82.0,b,2972.8816666666667
office14_360_0,office14,360.0,0.0,off,1613.164
office14_360_164_aout,office14,360.0,164.0,a,1948.75
office14_360_164_bout,office14,360.0,164.0,b,1563.9036666666666
office14_360_246_aout,office14,360.0,246.0,a,1652.9456666666667
office14_360_246_bout,office14,360.0,246.0,b,1873.9843333333336
office14_360_82_aout,office14,360.0,82.0,a,1886.885
office14_360_82_bout,office14,360.0,82.0,b,1963.255
