case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand
office4_660_0,office4,660.0,0.0,off,5295.8,160.47878787878787,505.96505823627285,2311.3683860232945
office4_660_164_aout,office4,660.0,164.0,a,5176.0,156.84848484848482,474.6455906821963,2393.2099833610646
office4_660_164_bout,office4,660.0,164.0,b,5878.0,178.1212121212121,380.17770382695505,2701.530116472546
office4_660_246_aout,office4,660.0,246.0,a,5025.6,152.29090909090908,370.0778702163061,2037.0063227953408
office4_660_246_bout,office4,660.0,246.0,b,5603.2,169.7939393939394,413.4459234608985,2256.921464226289
office4_660_82_aout,office4,660.0,82.0,a,5372.0,162.78787878787878,411.4459234608985,2364.677537437604
office4_660_82_bout,office4,660.0,82.0,b,4274.4,129.52727272727273,427.05557404326123,2485.0169717138106
office4_960_0,office4,960.0,0.0,off,4850.4,146.9818181818182,380.967387687188,2030.49850249584
office4_960_164_aout,office4,960.0,164.0,a,5929.8,179.6909090909091,391.0083194675541,2465.673544093178
office4_960_164_bout,office4,960.0,164.0,b,5441.4,164.8909090909091,331.7484193011647,2026.0056572379367
office4_960_246_aout,office4,960.0,246.0,a,5412.6,164.01818181818183,231.51414309484193,1556.8785357737106
office4_960_246_bout,office4,960.0,246.0,b,6152.6,186.44242424242424,266.55008319467555,1969.293510815308
office4_960_82_aout,office4,960.0,82.0,a,5545.8,168.05454545454546,267.40399334442594,1701.5653910149751
office4_960_82_bout,office4,960.0,82.0,b,5793.2,175.55151515151516,335.47254575707154,2058.2945091514143
office16_0_0,office16,0.0,0.0,off,6618.6,147.07999999999998,386.9863560732113,2682.699168053245
office16_0_164_aout,office16,0.0,164.0,a,6215.8,138.1288888888889,605.3580698835275,2471.596339434276
office16_0_164_bout,office16,0.0,164.0,b,6829.4,151.76444444444445,517.7470881863561,2555.2129783693845
office16_0_246_aout,office16,0.0,246.0,a,7159.4,159.0977777777778,464.2096505823627,2548.9104825291183
office16_0_246_bout,office16,0.0,246.0,b,7044.4,156.54222222222222,644.8442595673878,2862.514143094842
office16_0_82_aout,office16,0.0,82.0,a,6623.2,147.1822222222222,469.3347753743761,2463.1191347753747
office16_0_82_bout,office16,0.0,82.0,b,7687.6,170.83555555555557,388.4728785357737,2595.7693843594006
office16_360_0,office16,360.0,0.0,off,5478.8,121.75111111111111,80.26056572379368,1035.5623960066555
office16_360_164_aout,office16,360.0,164.0,a,6297.8,139.95111111111112,282.83760399334443,1537.965723793677
office16_360_164_bout,office16,360.0,164.0,b,5883.0,130.73333333333332,224.10615640599,1613.9783693843594
office16_360_246_aout,office16,360.0,246.0,a,6318.4,140.4088888888889,323.230615640599,1418.1361064891848
office16_360_246_bout,office16,360.0,246.0,b,5766.8,128.1511111111111,185.0116472545757,1569.5643926788684
office16_360_82_aout,office16,360.0,82.0,a,6072.0,134.93333333333334,266.60432612312815,1710.4419301164726
office16_360_82_bout,office16,360.0,82.0,b,5949.4,132.2088888888889,297.2559068219634,1697.9767054908486
office16_660_0,office16,660.0,0.0,off,6726.2,149.47111111111113,198.08019966722128,1547.951414309484
office16_660_164_aout,office16,660.0,164.0,a,6155.6,136.7911111111111,255.24825291181367,1548.745091514143
office16_660_164_bout,office16,660.0,164.0,b,5921.6,131.5911111111111,193.9128119800333,1376.8995008319466
office16_660_246_aout,office16,660.0,246.0,a,6435.4,143.0088888888889,380.49051580698836,1614.883527454243
office16_660_246_bout,office16,660.0,246.0,b,6581.6,146.2577777777778,193.46722129783694,1579.650915141431
office16_660_82_aout,office16,660.0,82.0,a,5952.6,132.28,163.31281198003327,1258.1577371048254
office16_660_82_bout,office16,660.0,82.0,b,5965.6,132.5688888888889,327.69251247920135,1686.5331114808655
office16_960_0,office16,960.0,0.0,off,6834.8,151.88444444444443,309.7354409317804,1640.0868552412644
office16_960_164_aout,office16,960.0,164.0,a,6338.2,140.8488888888889,277.37637271214646,1474.751081530782
office16_960_164_bout,office16,960.0,164.0,b,6748.4,149.96444444444444,403.72412645590686,1772.7966722129784
office16_960_246_aout,office16,960.0,246.0,a,7471.8,166.04,343.9440931780366,1640.6908485856904
office16_960_246_bout,office16,960.0,246.0,b,6989.8,155.32888888888888,348.71314475873544,1618.6662229617305
office16_960_82_aout,office16,960.0,82.0,a,7347.4,163.27555555555557,252.8465890183028,1661.2009983361063
office16_960_82_bout,office16,960.0,82.0,b,6878.0,152.84444444444443,288.29517470881865,1372.345091514143
office8_0_0,office8,0.0,0.0,off,5535.2,153.75555555555553,525.8755407653911,2728.477537437604
office8_0_164_aout,office8,0.0,164.0,a,5992.6,166.4611111111111,467.4971713810316,2990.432612312812
office8_0_164_bout,office8,0.0,164.0,b,5383.0,149.52777777777777,465.5504159733777,2657.091181364393
office8_0_246_aout,office8,0.0,246.0,a,5892.0,163.66666666666669,402.02362728785357,3009.0951747088184
office8_0_246_bout,office8,0.0,246.0,b,5576.2,154.89444444444445,531.2532445923462,2740.916472545757
office8_0_82_aout,office8,0.0,82.0,a,5439.2,151.0888888888889,536.1301164725458,2996.352412645591
office8_0_82_bout,office8,0.0,82.0,b,5716.6,158.79444444444442,644.8013311148086,3033.810316139767
office8_360_0,office8,360.0,0.0,off,5664.2,157.33888888888887,565.6452579034942,2874.895840266223
office8_360_164_aout,office8,360.0,164.0,a,5293.2,147.03333333333336,451.24525790349423,2582.669883527454
office8_360_164_bout,office8,360.0,164.0,b,5009.6,139.15555555555557,527.3737104825291,2431.7024958402662
office8_360_246_aout,office8,360.0,246.0,a,6077.6,168.82222222222222,463.9371048252912,2664.2232945091514
office8_360_246_bout,office8,360.0,246.0,b,5519.6,153.32222222222222,676.0599001663893,2977.825956738769
office8_360_82_aout,office8,360.0,82.0,a,5372.6,149.2388888888889,476.08552412645594,2887.436272878536
office8_360_82_bout,office8,360.0,82.0,b,5659.8,157.21666666666667,509.73577371048253,3146.621963394343
office8_660_0,office8,660.0,0.0,off,5944.4,165.1222222222222,505.2715474209651,2743.638602329451
office8_660_164_aout,office8,660.0,164.0,a,6025.2,167.36666666666665,468.21497504159737,2571.7637271214644
office8_660_164_bout,office8,660.0,164.0,b,6069.2,168.5888888888889,405.3251247920133,2254.8585690515806
office8_660_246_aout,office8,660.0,246.0,a,6286.6,174.6277777777778,504.0958402662229,2424.76306156406
