casename,num_drop,volume[ml],RoI
office28_360_82_bout_D,2598,3.51308627e-05,45.578947368421055
office28_660_0_D,2380,1.71992833e-05,41.75438596491228
office28_660_164_aout_D,2647,2.35724492e-05,46.43859649122807
office28_660_164_bout_D,4118,4.89410377e-05,72.24561403508773
office28_660_246_aout_D,3355,2.78325606e-05,58.85964912280702
office28_660_246_bout_D,4489,5.11080798e-05,78.75438596491227
office28_660_82_aout_D,2977,1.92593852e-05,52.228070175438596
office28_660_82_bout_D,2974,3.49710972e-05,52.175438596491226
office28_960_0_D,3427,6.77903517e-05,60.12280701754386
office28_960_164_aout_D,3762,2.80801105e-05,66.0
office28_960_164_bout_D,4078,5.38275635e-05,71.54385964912281
office28_960_246_aout_D,3279,3.95871539e-05,57.526315789473685
office28_960_246_bout_D,4695,6.83085382e-05,82.36842105263158
office28_960_82_aout_D,3653,3.39253056e-05,64.08771929824562
office28_960_82_bout_D,4940,6.06300055e-05,86.66666666666667
office28_0_0_E,4974,6.07458533e-05,87.26315789473684
office28_0_164_aout_E,5098,3.87286091e-05,89.43859649122807
office28_0_164_bout_E,4068,1.96614383e-05,71.36842105263158
office28_0_246_aout_E,5818,4.28785825e-05,102.0701754385965
office28_0_246_bout_E,5346,0.000142138233,93.78947368421052
office28_0_82_aout_E,4562,3.84865489e-05,80.03508771929825
office28_0_82_bout_E,4634,3.39738872e-05,81.29824561403508
office28_360_0_E,3310,2.23344359e-05,58.07017543859649
office28_360_164_aout_E,3984,2.90229636e-05,69.89473684210526
office28_360_164_bout_E,5318,4.10285174e-05,93.29824561403508
office28_360_246_aout_E,4147,2.60784145e-05,72.75438596491227
office28_360_246_bout_E,4590,5.0226321e-05,80.52631578947368
office28_360_82_aout_E,2889,1.70919284e-05,50.68421052631579
office28_360_82_bout_E,4845,2.50429603e-05,85.0
office28_660_0_E,2266,6.62945877e-06,39.75438596491228
office28_660_164_aout_E,4654,3.62573919e-05,81.64912280701755
office28_660_164_bout_E,3936,2.28994104e-05,69.05263157894737
office28_660_246_aout_E,4267,2.3342287e-05,74.85964912280701
office28_660_246_bout_E,7055,0.000138562871,123.7719298245614
office28_660_82_aout_E,2567,2.27559249e-05,45.03508771929825
office28_660_82_bout_E,3450,4.03724007e-05,60.526315789473685
office28_960_0_E,5129,2.76280516e-05,89.98245614035088
office28_960_164_aout_E,2556,5.39745088e-06,44.8421052631579
office28_960_164_bout_E,5086,4.14398237e-05,89.2280701754386
office28_960_246_aout_E,3001,1.99482383e-05,52.64912280701754
office28_960_246_bout_E,4922,5.47654708e-05,86.35087719298245
office28_960_82_aout_E,3394,1.23768186e-05,59.54385964912281
office28_960_82_bout_E,5828,3.35417208e-05,102.24561403508773
office5_0_0_A,4249,3.7577207e-05,128.75757575757575
office5_0_82_aout_A,1839,4.37881972e-05,55.72727272727273
office5_0_82_bout_A,1667,1.80424177e-05,50.515151515151516
office5_0_164_aout_A,3141,2.48039632e-05,95.18181818181819
office5_0_164_bout_A,3871,7.38409799e-05,117.3030303030303
office5_0_246_aout_A,3519,4.38119423e-05,106.63636363636364
office5_0_246_bout_A,3338,3.86198117e-05,101.15151515151516
office5_360_0_A,3146,2.92160767e-05,95.33333333333333
office5_360_82_aout_A,1693,4.000638e-05,51.303030303030305
office5_360_82_bout_A,4134,4.62406388e-05,125.27272727272727
office5_360_164_aout_A,3999,3.46806955e-05,121.18181818181819
office5_360_164_bout_A,6541,6.67773274e-05,198.21212121212122
office5_360_246_aout_A,1506,4.8554597e-05,45.63636363636363
office5_360_246_bout_A,8017,0.000102716665,242.93939393939394
office5_660_0_A,3263,6.63354731e-05,98.87878787878788
office5_660_82_aout_A,6651,8.05025193e-05,201.54545454545453
office5_660_82_bout_A,7444,8.09658886e-05,225.57575757575756
office5_660_164_aout_A,5549,6.71886592e-05,168.15151515151516
office5_660_164_bout_A,7566,7.09227461e-05,229.27272727272728
office5_660_246_aout_A,7410,9.17532161e-05,224.54545454545453
office5_660_246_bout_A,6886,0.000129055275,208.66666666666666
office5_960_0_A,4562,9.01737949e-05,138.24242424242425
office5_960_82_aout_A,6074,9.00955492e-05,184.06060606060606
office5_960_82_bout_A,5916,7.06335632e-05,179.27272727272728
office5_960_164_aout_A,6526,8.60426589e-05,197.75757575757575
