casename,num_drop,volume[ml],RoI
office22_360_0,1824.0,1.1578940222e-05,33.01357466063348
office22_360_164_aout,2387.8,1.6698062886e-05,43.218099547511315
office22_360_164_bout,3040.6,2.5314153854e-05,55.03348416289593
office22_360_246_aout,2633.0,2.1171297680000002e-05,47.65610859728507
office22_360_246_bout,2549.8,1.8926483098e-05,46.15022624434389
office22_360_82_aout,3284.8,2.134199368e-05,59.453393665158366
office22_360_82_bout,1784.2,1.5007567534000002e-05,32.29321266968326
office22_660_0,1452.4,1.4601892508e-05,26.287782805429867
office22_660_164_aout,2985.6,3.3887719147999996e-05,54.038009049773756
office22_660_164_bout,2535.6,2.5937805e-05,45.89321266968326
office22_660_246_aout,2174.6,1.6636393592000004e-05,39.35927601809955
office22_660_246_bout,2484.0,2.272244436e-05,44.959276018099544
office22_660_82_aout,1607.0,1.3053751675399999e-05,29.085972850678736
office22_660_82_bout,2010.2,2.0096445930800002e-05,36.383710407239825
office22_960_0,3071.8,3.965191759e-05,55.59819004524887
office22_960_164_aout,3215.8,3.462374808e-05,58.204524886877834
office22_960_164_bout,3072.8,3.6777860439999995e-05,55.616289592760175
office22_960_246_aout,3133.2,4.037757334e-05,56.70950226244345
office22_960_246_bout,3600.8,3.926884564e-05,65.17285067873303
office22_960_82_aout,2923.2,4.34474727312e-05,52.90859728506788
office22_960_82_bout,3119.2,4.7620185818e-05,56.45610859728507
office4_0_0,5607.0,3.49424441e-05,169.9090909090909
office4_0_164_aout,5923.2,4.3130898480000004e-05,179.4909090909091
office4_0_164_bout,6150.6,5.161316076e-05,186.38181818181818
office4_0_246_aout,5794.2,3.8885332480000005e-05,175.5818181818182
office4_0_246_bout,5781.0,3.171063398e-05,175.1818181818182
office4_0_82_aout,6355.4,6.110509784000001e-05,192.5878787878788
office4_0_82_bout,5520.0,2.8277922590000002e-05,167.27272727272728
office4_360_0,5732.6,5.362834608000001e-05,173.7151515151515
office4_360_164_aout,5835.4,5.481562804000001e-05,176.83030303030304
office4_360_164_bout,5842.2,4.159648124e-05,177.03636363636366
office4_360_246_aout,5079.4,3.17535374e-05,153.92121212121214
office4_360_246_bout,5704.6,3.810100732e-05,172.86666666666665
office4_360_82_aout,6027.2,4.7627346419999996e-05,182.64242424242425
office4_360_82_bout,4883.0,3.98157938e-05,147.969696969697
office4_660_0,5902.4,3.965042305999999e-05,178.86060606060605
office4_660_164_aout,5849.6,4.3353679940000004e-05,177.26060606060608
office4_660_164_bout,5428.6,3.1444046904000004e-05,164.5030303030303
office4_660_246_aout,5265.0,3.991828782e-05,159.54545454545456
office4_660_246_bout,5820.0,5.8463859019999995e-05,176.36363636363635
office4_660_82_aout,4891.2,4.511858644e-05,148.21818181818185
office4_660_82_bout,5264.4,3.97991873e-05,159.52727272727273
office4_960_0,5114.0,3.8909598254e-05,154.96969696969694
office4_960_164_aout,5431.6,4.8735747260000006e-05,164.5939393939394
office4_960_164_bout,5018.4,2.905395778e-05,152.0727272727273
office4_960_246_aout,4742.8,4.06748357e-05,143.72121212121212
office4_960_246_bout,4965.8,4.60354555e-05,150.47878787878787
office4_960_82_aout,4790.2,4.97491066e-05,145.15757575757576
office4_960_82_bout,5851.2,4.645855008e-05,177.3090909090909
office1_0_0,4646.0,3.4943597172e-05,140.7878787878788
office1_0_123_aout,4661.6,2.8154907699999997e-05,141.26060606060605
office1_0_123_bout,4737.6,3.1241386948e-05,143.56363636363636
office1_0_164_aout,4361.4,3.984684482e-05,132.16363636363636
office1_0_164_bout,4033.6,2.1504295818e-05,122.23030303030302
office1_0_205_aout,5064.8,4.963912326e-05,153.47878787878787
office1_0_205_bout,4481.8,3.778544922e-05,135.8121212121212
office1_0_246_aout,5534.2,4.3279937020000006e-05,167.7030303030303
office1_0_246_bout,5192.4,3.262294575e-05,157.34545454545454
office1_0_41_aout,4964.8,2.761428768e-05,150.44848484848484
office1_0_41_bout,4732.6,2.6624498060000002e-05,143.41212121212124
office1_0_82_aout,4671.2,4.019192265e-05,141.55151515151516
office1_0_82_bout,4747.0,3.3209088175999996e-05,143.84848484848484
office1_660_0,2702.4,2.0981968294e-05,81.89090909090909
office1_660_123_aout,3336.4,2.2211172301999997e-05,101.10303030303031
office1_660_123_bout,4111.4,4.1072129386e-05,124.58787878787878
office1_660_164_aout,2165.6,2.9413979079999998e-05,65.62424242424242
office1_660_164_bout,2553.8,2.3322152084e-05,77.38787878787879
office1_660_205_aout,1510.4,2.0392923217999998e-05,45.769696969696966
office1_660_205_bout,3840.6,3.4801859758e-05,116.38181818181818
office1_660_246_aout,3954.2,3.0091738694000005e-05,119.82424242424243
office1_660_246_bout,2293.6,2.0929283698e-05,69.5030303030303
office1_660_41_aout,3771.4,2.8835914853999998e-05,114.2848484848485
office1_660_41_bout,2695.0,2.5697365166000002e-05,81.66666666666666
office1_660_82_aout,1920.2,1.26160192e-05,58.18787878787877
office1_660_82_bout,4426.6,3.2704264232e-05,134.13939393939395
office1_960_0,3249.6,2.4923473379999996e-05,98.47272727272727
office1_960_123_aout,4616.6,4.7405017819999997e-05,139.8969696969697
office1_960_123_bout,3454.2,4.665914458e-05,104.67272727272727
office1_960_164_aout,2925.6,2.3582056195999997e-05,88.65454545454546
office1_960_164_bout,3307.4,2.959706088e-05,100.22424242424242
office1_960_205_aout,3325.0,3.371283892e-05,100.75757575757576
